ds,Weekly_Sales,yhat,dept
2012-01-06,518871.2399999998,458968.9128715302,80
2012-01-13,501595.31999999995,503362.2619965234,80
2012-01-20,496652.06,484531.3975608508,80
2012-01-27,476310.21,471294.6149224154,80
2012-02-03,517457.29999999993,496445.1065676205,80
2012-02-10,555959.3500000001,539145.82628659,80
2012-02-17,499160.91,486367.947699295,80
2012-02-24,494081.53000000014,479436.31832110195,80
2012-03-02,500864.04999999993,492173.6684689113,80
2012-03-09,523877.4600000001,507116.36416150647,80
2012-03-16,497858.71,480353.54090392235,80
2012-03-23,474174.76000000007,475049.62414500583,80
2012-03-30,482677.8599999999,474814.4916630391,80
2012-04-06,539746.21,504563.39283465315,80
2012-04-13,497438.17000000004,494302.69433342427,80
2012-04-20,496389.22000000003,507014.7353834224,80
2012-04-27,484598.42000000016,464582.3934844477,80
2012-05-04,514373.36,508575.3900023477,80
2012-05-11,518828.8999999999,503954.76292110677,80
2012-05-18,498149.74999999994,489768.28603979805,80
2012-05-25,513584.5900000001,493736.9050088588,80
2012-06-01,500811.5,502530.3769208316,80
2012-06-08,537637.2000000001,517007.23008831777,80
2012-06-15,523480.80999999994,516453.17851513944,80
2012-06-22,498993.0900000002,493226.4176612946,80
2012-06-29,499108.01000000007,507956.3167514712,80
2012-07-06,554812.88,541850.8308235973,80
2012-07-13,513400.01,515787.64888376096,80
2012-07-20,509934.00000000006,509053.11988948064,80
2012-07-27,489586.79000000004,480998.041388005,80
2012-08-03,513995.38,514866.001321594,80
2012-08-10,523090.32,519010.4305550613,80
2012-08-17,508080.98000000016,494402.9227035228,80
2012-08-24,491534.87,492552.5683040158,80
2012-08-31,494826.43999999994,483650.97995716665,80
2012-09-07,526566.03,517695.1682326159,80
2012-09-14,499943.66,506508.5929537337,80
2012-09-21,485771.98000000004,484396.92690234585,80
2012-09-28,477493.9000000001,475645.84733655985,80
2012-10-05,516216.60000000003,511018.40346837684,80
2012-10-12,501021.5800000001,511872.212181718,80
2012-10-19,493498.59999999986,483049.21407994535,80
2012-10-26,483356.54,481618.6942002738,80
2012-01-06,702660.9700000002,629618.8311600114,81
2012-01-13,693191.3600000002,700955.136206722,81
2012-01-20,699384.5900000001,702040.1933396938,81
2012-01-27,660438.0800000002,690472.7775661236,81
2012-02-03,720506.3599999999,727055.5517558053,81
2012-02-10,723757.3200000002,734329.9926048553,81
2012-02-17,683445.1600000001,679564.5366783183,81
2012-02-24,684813.4300000002,660453.213992584,81
2012-03-02,697778.4999999999,703811.3787721016,81
2012-03-09,733997.7500000001,719299.5198475765,81
2012-03-16,712676.2400000001,686258.8347631535,81
2012-03-23,676527.8400000001,672136.4925840866,81
2012-03-30,676691.7699999999,691180.9000264078,81
2012-04-06,760868.9099999998,705031.9507221894,81
2012-04-13,683310.4,702150.3714203892,81
2012-04-20,705537.02,690827.5950152412,81
2012-04-27,689408.2999999998,684032.1976719731,81
2012-05-04,731156.8899999997,698801.829821953,81
2012-05-11,728728.6500000003,718201.0617288247,81
